Date,Price,Open,High,Low,Vol.
2021-01-08,"88,800","83,300","90,000","83,000",57.52M
2021-01-10,"88,800","88,800","88,800","88,800",-
2021-01-11,"91,000","90,100","96,700","90,000",41.26K
2021-01-12,"90,600","90,500","91,300","87,900",29.49K
2021-01-13,"89,700","89,900","91,100","89,200",35.22K
2021-01-14,"89,700","88,800","90,000","88,700",8.26K
2021-01-15,"88,000","89,800","91,800","88,000",33.12M
2021-01-17,"88,000","88,000","88,000","88,000",-
2021-01-18,"85,000","86,700","87,300","84,200",19.68K
2021-01-19,"87,000","84,600","88,000","83,600",7.56K
2021-01-20,"87,200","88,900","88,900","86,500",3.38K
2021-01-21,"88,100","87,500","88,600","86,500",5.95K
2021-01-22,"86,800","89,000","89,700","86,800",30.43M
2021-01-24,"86,800","86,800","86,800","86,800",-
2021-01-25,"89,400","87,100","89,900","86,400",25.11K
2021-01-26,"86,700","88,800","89,200","86,500",6.49K
2021-01-27,"85,600","86,700","87,700","85,600",25.96K
2021-01-28,"83,700","83,400","85,600","83,300",2.27K
2021-01-29,"82,000","84,500","85,000","82,000",36.70M
2021-01-31,"82,000","82,000","82,000","82,000",-
2021-02-01,"83,000","81,800","83,400","81,000",1.45K
2021-02-02,"84,400","84,100","86,300","83,700",0.51K
2021-02-03,"84,600","84,800","85,400","83,400",8.89K
2021-02-04,"82,500","83,500","83,800","82,100",2.51K
2021-02-05,"83,500","83,100","84,000","82,500",17.14M
2021-02-07,"83,500","83,500","83,500","83,500",-
2021-02-08,"83,000","83,800","84,200","83,000",2.14K
2021-02-09,"82,700","84,000","84,800","82,700",5.17K
2021-02-10,"81,600","82,600","82,600","81,600",22.58M
2021-02-14,"81,600","81,600","81,600","81,600",-
2021-02-15,"84,200","83,700","84,500","83,400",0.80K
2021-02-16,"84,900","84,500","86,000","84,200",24.26K
2021-02-17,"83,200","83,900","84,200","83,000",16.79K
2021-02-18,"82,100","83,200","83,600","82,100",24.28K
2021-02-19,"82,600","82,300","82,800","81,000",25.47M
2021-02-21,"82,600","82,600","82,600","82,600",-
2021-02-22,"82,200","83,800","84,200","82,200",17.48K
2021-02-23,"82,000","81,300","82,900","81,100",7.03K
2021-02-24,"82,000","81,900","83,600","81,400",0.98K
2021-02-25,"85,300","84,000","85,400","83,000",6.35K
2021-02-26,"82,500","82,800","83,400","82,000",36.72M
2021-03-01,"82,500","82,500","82,500","82,500",-
2021-03-02,"83,600","85,000","85,300","83,000",7.76K
2021-03-03,"84,000","83,400","84,000","82,800",3.80K
2021-03-04,"82,400","82,700","83,100","82,200",8.75K
2021-03-05,"82,100","81,100","82,600","81,100",20.35M
2021-03-07,"82,100","82,100","82,100","82,100",-
2021-03-08,"82,000","83,000","83,000","81,600",6.72K
2021-03-09,"81,400","81,500","81,900","80,600",1.24K
2021-03-10,"80,900","82,400","82,500","80,700",8.86K
2021-03-11,"82,000","81,000","82,500","81,000",0.96K
2021-03-12,"82,800","83,100","83,500","82,400",13.41M
2021-03-14,"82,800","82,800","82,800","82,800",-
2021-03-15,"81,800","82,800","82,900","81,800",0.40K
2021-03-16,"82,800","82,300","83,000","82,100",3.55K
2021-03-17,"82,300","82,800","82,800","82,100",32.00K
2021-03-18,"82,900","82,800","83,800","82,600",2.15K
2021-03-19,"81,900","82,100","82,500","81,800",15.69M
2021-03-21,"81,900","81,900","81,900","81,900",-
2021-03-22,"82,000","82,000","82,300","81,700",12.55M
2021-03-23,"81,800","82,500","82,800","81,800",5.98K
2021-03-24,"81,000","81,100","81,600","80,700",14.93K
2021-03-25,"81,200","80,900","82,100","80,800",0.45K
2021-03-26,"81,500","81,400","81,600","81,000",12.73M
2021-03-28,"81,500","81,500","81,500","81,500",-
2021-03-29,"81,600","81,700","81,700","81,000",9.87K
2021-03-30,"82,200","81,600","82,300","81,300",13.05M
2021-03-31,"81,400","82,100","82,100","81,400",0.54K
2021-04-01,"82,900","82,400","83,000","82,000",0.93K
2021-04-02,"84,800","84,000","85,200","83,900",22.89M
2021-04-04,"84,800","84,800","84,800","84,800",-
2021-04-05,"85,400","85,800","86,000","84,800",0.84K
2021-04-06,"86,000","86,100","86,200","85,100",10.26K
2021-04-07,"85,600","86,100","86,200","85,400",5.60K
2021-04-08,"84,700","85,700","85,700","84,100",19.17M
2021-04-09,"83,600","84,700","84,900","83,400",17.79M
2021-04-11,"83,600","83,600","83,600","83,600",-
2021-04-12,"83,200","84,000","84,100","83,100",16.47K
2021-04-13,"84,000","83,000","84,500","82,900",1.05K
2021-04-14,"84,000","84,100","84,300","83,400",4.37K
2021-04-15,"84,100","83,700","84,500","83,400",1.01K
2021-04-16,"83,900","84,700","84,700","83,600",15.34M
2021-04-18,"83,900","83,900","83,900","83,900",-
2021-04-19,"83,300","83,900","84,000","83,300",11.08K
2021-04-20,"83,900","83,300","84,000","83,200",4.40K
2021-04-21,"82,600","83,400","83,500","82,500",0.44K
2021-04-22,"82,400","82,800","83,000","82,400",8.15K
2021-04-23,"82,800","81,900","82,900","81,600",17.74M
2021-04-25,"82,800","82,800","82,800","82,800",-
2021-04-26,"83,500","82,900","83,500","82,600",3.37K
2021-04-27,"82,900","83,300","83,300","82,500",3.86K
2021-04-28,"82,100","83,100","83,200","82,100",6.80K
2021-04-29,"81,700","82,400","82,400","81,500",2.84K
2021-04-30,"81,500","81,900","82,100","81,500",17.26M
2021-05-02,"81,500","81,500","81,500","81,500",-
2021-05-03,"81,700","81,000","82,400","81,000",15.58M
2021-05-04,"82,600","81,900","82,600","81,800",12.29M
2021-05-05,"82,600","82,600","82,600","82,600",-
2021-05-06,"82,300","81,700","82,300","81,700",16.85M
2021-05-07,"81,900","81,800","82,100","81,500",12.80M
2021-05-09,"81,900","81,900","81,900","81,900",-
2021-05-10,"83,200","82,300","83,500","81,800",7.02K
2021-05-11,"81,200","82,500","82,500","81,100",12.16K
